tier_id,task_id,policy_id,outcome,cost_accounting_complete,actual_cost_usd,attempts,resumed
lite,config-numeric-attribute,fixed:openai/gpt-5.6-luna,resolved,true,0.00624805,1,false
lite,config-numeric-attribute,fixed:x-ai/grok-4.5,resolved,true,0.020808000000000004,1,false
lite,config-numeric-attribute,fixed:anthropic/claude-opus-4.6,resolved,true,0.057675,1,false
lite,config-numeric-attribute,fixed:qwen/qwen3-coder,unresolved,true,0.0078253,1,false
lite,config-numeric-attribute,pareto:frozen-nine-rung,resolved,true,0.000820092,1,false
lite,http-utf8-content-length,fixed:openai/gpt-5.6-luna,resolved,true,0.017507949999999994,1,false
lite,http-utf8-content-length,fixed:x-ai/grok-4.5,resolved,true,0.024184,1,false
lite,http-utf8-content-length,fixed:anthropic/claude-opus-4.6,resolved,true,0.05725499999999999,1,false
lite,http-utf8-content-length,fixed:qwen/qwen3-coder,resolved,true,0.0022629000000000004,1,false
lite,http-utf8-content-length,pareto:frozen-nine-rung,resolved,true,0.0016186102800000001,1,false
lite,url-query-repeat-empty-values,fixed:openai/gpt-5.6-luna,resolved,true,0.015252100000000001,1,false
lite,url-query-repeat-empty-values,fixed:x-ai/grok-4.5,resolved,true,0.019878,1,false
lite,url-query-repeat-empty-values,fixed:anthropic/claude-opus-4.6,resolved,true,0.06682,1,false
lite,url-query-repeat-empty-values,fixed:qwen/qwen3-coder,unresolved,true,0.012162500000000001,1,false
lite,url-query-repeat-empty-values,pareto:frozen-nine-rung,resolved,true,0.0021741608,2,false
lite,ndjson-chunk-framer,fixed:openai/gpt-5.6-luna,resolved,true,0.0137398,1,false
lite,ndjson-chunk-framer,fixed:x-ai/grok-4.5,resolved,true,0.011386,1,false
lite,ndjson-chunk-framer,fixed:anthropic/claude-opus-4.6,resolved,true,0.08379,1,false
lite,ndjson-chunk-framer,fixed:qwen/qwen3-coder,unresolved,true,0.07370542000000001,1,false
lite,ndjson-chunk-framer,pareto:frozen-nine-rung,resolved,true,0.0020605284,1,false
